dataset_idx,period,my_period,diff
1,204,209,5
2,204,209,5
3,204,209,5
4,82,80,2
5,24,24,0
6,24,24,0
7,24,24,0
8,24,24,0
9,24,24,0
10,24,24,0
11,91,92,1
12,93,91,2
13,167,166,1
14,165,167,2
15,479,454,25
16,166,167,1
17,166,167,1
18,168,167,1
19,219,217,2
20,219,217,2
21,219,217,2
22,215,217,2
23,217,217,0
24,153,154,1
25,152,154,2
26,174,173,1
27,184,183,1
28,181,182,1
29,183,183,0
30,183,183,0
31,183,183,0
32,180,179,1
33,175,173,2
34,153,152,1
35,165,167,2
36,175,175,0
37,35,34,1
38,35,34,1
39,35,34,1
40,32,35,3
41,32,35,3
42,32,35,3
43,207,49,158
44,24,168,144
45,24,168,144
46,24,168,144
47,24,168,144
48,97,98,1
49,97,98,1
50,97,98,1
51,97,98,1
52,97,98,1
53,114,113,1
54,114,113,1
55,94,359,265
56,94,360,266
57,94,360,266
58,96,359,263
59,328,313,15
60,328,313,15
61,328,313,15
62,328,331,3
63,328,331,3
64,328,329,1
65,25,26,1
66,25,26,1
67,25,26,1
68,25,26,1
69,25,26,1
70,221,231,10
71,221,234,13
72,228,233,5
73,356,355,1
74,206,184,22
75,206,189,17
76,459,470,11
77,462,471,9
78,478,469,9
79,478,468,10
80,478,468,10
81,478,468,10
82,446,469,23
83,485,469,16
84,100,108,8
85,100,108,8
86,268,276,8
87,172,172,0
88,170,173,3
89,250,238,12
90,250,240,10
91,250,240,10
92,250,243,7
93,214,209,5
94,81,80,1
95,24,24,0
96,167,167,0
97,219,217,2
98,181,183,2
99,150,152,2
100,34,34,0
101,34,35,1
102,204,49,155
103,98,98,0
104,96,360,264
105,323,313,10
106,350,331,19
107,25,26,1
108,464,468,4
109,214,209,5
110,214,209,5
111,214,209,5
112,81,80,1
113,23,24,1
114,23,24,1
115,23,24,1
116,23,24,1
117,23,24,1
118,23,24,1
119,94,92,2
120,94,91,3
121,164,166,2
122,164,167,3
123,475,454,21
124,166,167,1
125,166,167,1
126,166,167,1
127,219,217,2
128,219,217,2
129,219,217,2
130,219,217,2
131,219,217,2
132,155,154,1
133,155,154,1
134,175,173,2
135,182,183,1
136,182,182,0
137,182,183,1
138,182,183,1
139,182,183,1
140,180,179,1
141,177,173,4
142,152,152,0
143,167,167,0
144,175,175,0
145,38,34,4
146,38,34,4
147,38,34,4
148,38,35,3
149,38,35,3
150,38,35,3
151,203,49,154
152,25,168,143
153,25,168,143
154,25,168,143
155,25,168,143
156,98,98,0
157,98,98,0
158,98,98,0
159,98,98,0
160,98,98,0
161,113,113,0
162,113,113,0
163,95,360,265
164,95,360,265
165,95,360,265
166,95,360,265
167,319,313,6
168,319,313,6
169,319,313,6
170,337,331,6
171,337,331,6
172,337,328,9
173,26,26,0
174,26,26,0
175,26,26,0
176,26,26,0
177,26,26,0
178,224,231,7
179,224,234,10
180,223,233,10
181,355,356,1
182,205,184,21
183,183,189,6
184,470,470,0
185,475,471,4
186,475,469,6
187,475,468,7
188,475,468,7
189,475,468,7
190,475,469,6
191,475,469,6
192,99,108,9
193,99,108,9
194,274,276,2
195,165,172,7
196,171,173,2
197,248,238,10
198,248,240,8
199,248,240,8
200,248,243,5
201,32,33,1
202,31,33,2
203,32,33,1
204,32,33,1
205,32,33,1
206,36,37,1
207,39,37,2
208,37,37,0
209,269,262,7
210,97,96,1
211,97,96,1
212,25,96,71
213,878,900,22
214,888,900,12
215,851,900,49
216,883,900,17
217,891,900,9
218,871,900,29
219,872,900,28
220,867,900,33
221,891,900,9
222,101,99,2
223,98,99,1
224,98,99,1
225,105,99,6
226,105,183,78
227,230,232,2
228,141,133,8
229,127,64,63
230,134,106,28
231,123,238,115
232,123,238,115
233,109,113,4
234,119,115,4
235,116,114,2
236,114,115,1
237,105,105,0
238,111,115,4
239,1496,152,1344
240,1514,153,1361
241,1496,153,1343
242,223,306,83
243,223,272,49
244,162,166,4
245,166,166,0
246,221,237,16
247,221,236,15
248,27,24,3
249,26,24,2
250,25,24,1
