file_name,train_length,test_length,anomaly_length,period,vq_period
001_DISTORTED1sddb40,35000,44795,621,209,204
002_DISTORTED2sddb40,35000,45001,301,209,204
003_DISTORTED3sddb40,35000,45000,301,209,204
004_DISTORTEDBIDMC1,2500,8500,201,80,82
005_DISTORTEDCIMIS44AirTemperature1,4000,4184,2,24,24
006_DISTORTEDCIMIS44AirTemperature2,4000,4184,25,24,24
007_DISTORTEDCIMIS44AirTemperature3,4000,4184,25,24,24
008_DISTORTEDCIMIS44AirTemperature4,4000,4184,49,24,24
009_DISTORTEDCIMIS44AirTemperature5,4000,4184,49,24,24
010_DISTORTEDCIMIS44AirTemperature6,4000,4184,49,24,24
011_DISTORTEDECG1,10000,20000,301,92,91
012_DISTORTEDECG2,15000,15000,101,91,93
013_DISTORTEDECG3,15000,15000,101,166,167
014_DISTORTEDECG3,8000,22000,101,167,165
015_DISTORTEDECG4,5000,195000,301,454,479
016_DISTORTEDECG4,5000,25000,201,167,166
017_DISTORTEDECG4,5000,25000,101,167,166
018_DISTORTEDECG4,8000,22000,101,167,168
019_DISTORTEDGP711MarkerLFM5z1,5000,7000,45,217,219
020_DISTORTEDGP711MarkerLFM5z2,5000,7000,214,217,219
021_DISTORTEDGP711MarkerLFM5z3,5000,7000,46,217,219
022_DISTORTEDGP711MarkerLFM5z4,4000,8000,119,217,215
023_DISTORTEDGP711MarkerLFM5z5,5000,7000,105,217,217
024_DISTORTEDInternalBleeding10,3200,4301,31,154,153
025_DISTORTEDInternalBleeding14,2800,4701,28,154,152
026_DISTORTEDInternalBleeding15,1700,5901,171,173,174
027_DISTORTEDInternalBleeding16,1200,6301,13,183,184
028_DISTORTEDInternalBleeding17,1600,5900,112,182,181
029_DISTORTEDInternalBleeding18,2300,5200,103,183,183
030_DISTORTEDInternalBleeding19,3000,4500,11,183,183
031_DISTORTEDInternalBleeding20,2700,4800,161,183,183
032_DISTORTEDInternalBleeding4,1000,6321,359,179,180
033_DISTORTEDInternalBleeding5,4000,3415,171,173,175
034_DISTORTEDInternalBleeding6,1500,6154,156,152,153
035_DISTORTEDInternalBleeding8,2500,5001,110,167,165
036_DISTORTEDInternalBleeding9,4200,3301,83,175,175
037_DISTORTEDLab2Cmac011215EPG1,5000,25001,51,34,35
038_DISTORTEDLab2Cmac011215EPG2,5000,24950,71,34,35
039_DISTORTEDLab2Cmac011215EPG3,5000,24950,31,34,35
040_DISTORTEDLab2Cmac011215EPG4,6000,24066,131,35,32
041_DISTORTEDLab2Cmac011215EPG5,7000,22826,131,35,32
042_DISTORTEDLab2Cmac011215EPG6,7000,22859,231,35,32
043_DISTORTEDMesoplodonDensirostris,10000,14667,161,49,207
044_DISTORTEDPowerDemand1,9000,20931,337,168,24
045_DISTORTEDPowerDemand2,14000,15931,361,168,24
046_DISTORTEDPowerDemand3,16000,13931,73,168,24
047_DISTORTEDPowerDemand4,18000,11931,73,168,24
048_DISTORTEDTkeepFifthMARS,3500,7834,98,98,97
049_DISTORTEDTkeepFirstMARS,3500,7906,16,98,97
050_DISTORTEDTkeepForthMARS,3500,7808,98,98,97
051_DISTORTEDTkeepSecondMARS,3500,7888,11,98,97
052_DISTORTEDTkeepThirdMARS,3500,7808,99,98,97
053_DISTORTEDWalkingAceleration1,1500,5184,232,113,114
054_DISTORTEDWalkingAceleration5,2700,3984,60,113,114
055_DISTORTEDapneaecg2,10000,28501,151,359,94
056_DISTORTEDapneaecg3,5000,33379,101,360,94
057_DISTORTEDapneaecg4,6000,32269,101,360,94
058_DISTORTEDapneaecg,10000,28501,69,359,96
059_DISTORTEDgait1,20000,45000,301,313,328
060_DISTORTEDgait2,22000,43000,301,313,328
061_DISTORTEDgait3,24500,40500,601,313,328
062_DISTORTEDgaitHunt1,18500,45500,111,331,328
063_DISTORTEDgaitHunt2,18500,45500,651,331,328
064_DISTORTEDgaitHunt3,23400,40600,801,329,328
065_DISTORTEDinsectEPG1,3000,7001,31,26,25
066_DISTORTEDinsectEPG2,3700,6298,26,26,25
067_DISTORTEDinsectEPG3,5200,4798,51,26,25
068_DISTORTEDinsectEPG4,1300,8698,51,26,25
069_DISTORTEDinsectEPG5,3200,6828,2,26,25
070_DISTORTEDltstdbs30791AI,17555,38568,201,231,221
071_DISTORTEDltstdbs30791AS,23000,32000,201,234,221
072_DISTORTEDltstdbs30791ES,20000,35000,201,233,228
073_DISTORTEDpark3m,60000,30000,346,355,356
074_DISTORTEDqtdbSel1005V,4000,32001,401,184,206
075_DISTORTEDqtdbSel100MLII,4000,26000,401,189,206
076_DISTORTEDresperation10,48000,147000,1181,470,459
077_DISTORTEDresperation11,58000,137000,2,471,462
078_DISTORTEDresperation1,100000,100000,153,469,478
079_DISTORTEDresperation2,30000,170051,3,468,478
080_DISTORTEDresperation2,30000,160050,2,468,478
081_DISTORTEDresperation3,45000,145100,2,468,478
082_DISTORTEDresperation4,70000,125250,2,469,446
083_DISTORTEDresperation9,38000,157000,101,469,485
084_DISTORTEDs20101mML2,12000,28000,101,108,100
085_DISTORTEDs20101m,10000,30000,101,108,100
086_DISTORTEDsddb49,20000,60000,251,276,268
087_DISTORTEDsel840mECG1,17000,43000,371,172,172
088_DISTORTEDsel840mECG2,20000,37001,371,173,170
089_DISTORTEDtiltAPB1,100000,30001,68,238,250
090_DISTORTEDtiltAPB2,50000,78767,827,240,250
091_DISTORTEDtiltAPB3,40000,89489,371,240,250
092_DISTORTEDtiltAPB4,20000,108001,2,243,250
093_NOISE1sddb40,35000,44795,621,209,214
094_NOISEBIDMC1,2500,8500,201,80,81
095_NOISECIMIS44AirTemperature4,4000,4184,49,24,24
096_NOISEECG4,5000,25000,201,167,167
097_NOISEGP711MarkerLFM5z3,5000,7000,46,217,219
098_NOISEInternalBleeding16,1200,6301,13,183,181
099_NOISEInternalBleeding6,1500,6154,156,152,150
100_NOISELab2Cmac011215EPG1,5000,25001,51,34,34
101_NOISELab2Cmac011215EPG4,6000,24066,131,35,34
102_NOISEMesoplodonDensirostris,10000,14667,161,49,204
103_NOISETkeepThirdMARS,3500,7808,99,98,98
104_NOISEapneaecg4,6000,32269,101,360,96
105_NOISEgait3,24500,40500,601,313,323
106_NOISEgaitHunt2,18500,45500,651,331,350
107_NOISEinsectEPG3,5200,4798,51,26,25
108_NOISEresperation2,30000,170051,3,468,464
109_1sddb40,35000,44795,621,209,214
110_2sddb40,35000,45001,301,209,214
111_3sddb40,35000,45000,301,209,214
112_BIDMC1,2500,8500,201,80,81
113_CIMIS44AirTemperature1,4000,4184,2,24,23
114_CIMIS44AirTemperature2,4000,4184,25,24,23
115_CIMIS44AirTemperature3,4000,4184,25,24,23
116_CIMIS44AirTemperature4,4000,4184,49,24,23
117_CIMIS44AirTemperature5,4000,4184,49,24,23
118_CIMIS44AirTemperature6,4000,4184,49,24,23
119_ECG1,10000,20000,301,92,94
120_ECG2,15000,15000,101,91,94
121_ECG3,15000,15000,101,166,164
